,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
211,212,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),92%,27125.0,7.11,4096.0,32768.0,,,,,,,,,,,
212,213,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),100%,31629.0,8.29,3584.0,32768.0,,,,,,,,,,,
213,214,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100%,8427.0,2.21,1536.0,32768.0,,,,,,,,,,,
214,215,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639.0,0.335,768.0,512.0,,,,,,,,,,,
215,216,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),95%,13563.0,7.111,4096.0,32768.0,,,,,,,,,,,
216,217,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,,0.137,768.0,8192.0,,,,,,,,,,,
217,218,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,119.0,0.031,1024.0,,,,,,,,,,,,
218,219,[LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised),98%,27126.0,7.111,4096.0,32768.0,,,,,,,,,,,
219,220,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),93%,1166.0,0.306,768.0,512.0,,,,,,,,,,,
220,221,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),⚠️ NA,,0.335,768.0,512.0,,,,,,,,,,,
221,222,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),98%,28629.0,7.505,4096.0,8192.0,,,,,,,,,,,
222,223,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,1278.0,0.335,1024.0,512.0,,,,,,,,,,,
223,224,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),99%,284.0,0.149,768.0,8192.0,,,,,,,,,,,
224,225,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),98%,27126.0,7.111,4096.0,32768.0,,,,,,,,,,,
225,226,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),93%,1072.0,0.281,768.0,512.0,,,,,,,,,,,
226,227,[bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,128.0,,,,,,,,,,,
227,228,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,,,,,,,,,,,,,,,
228,229,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96%,568.0,0.149,768.0,8192.0,,,,,,,,,,,
229,230,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99%,127.0,0.033,512.0,512.0,,,,,,,,,,,
230,231,[Hinvec](https://huggingface.co/Sailesh97/Hinvec),96%,3715.0,0.94,2048.0,2048.0,,,,,,,,,,,
231,232,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,9279.0,4.86,768.0,512.0,,,,,,,,,,,
232,233,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,2141.0,0.56,1024.0,512.0,,,,,,,,,,,
233,234,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,2367.0,1.24,768.0,512.0,,,,,,,,,,,
234,235,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,1064.0,0.278,768.0,512.0,,,,,,,,,,,
235,236,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,27126.0,7.111,4096.0,32768.0,,,,,,,,,,,
236,237,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,28629.0,7.505,4096.0,8192.0,,,,,,,,,,,
237,238,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,209.0,0.11,768.0,512.0,,,,,,,,,,,
238,239,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,,,,,,,,,
239,240,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,,,,,,,,,
240,241,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,27126.0,7.111,4096.0,32768.0,,,,,,,,,,,
241,242,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,,,,,,,,,
242,243,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,678.0,1.78,4096.0,75.0,,,,,,,,,,,
243,244,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,,,,,,,,,
244,245,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),99%,1355.0,0.355,1024.0,514.0,,,,,,,,,,,
245,246,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),97%,418.0,0.109,768.0,512.0,,,,,,,,,,,
246,247,[mmBERTscandi-base-embedding](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,1171.0,0.307,768.0,8192.0,,,,,,,,,,,
247,248,[EmbeddingGemma-Scandi-300m](https://huggingface.co/emillykkejensen/EmbeddingGemma-Scandi-300m),99%,578.0,0.308,768.0,2048.0,,,,,,,,,,,
248,249,[Qwen3-Embedding-Scandi-0.6B](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),99%,2272.0,0.596,1024.0,32768.0,,,,,,,,,,,
249,250,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),99%,237.0,0.124,768.0,514.0,,,,,,,,,,,
250,251,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,,,,,,,,,
251,252,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),99%,78.0,0.041,384.0,512.0,,,,,,,,,,,
252,253,[jina-reranker-v3](https://huggingface.co/jinaai/jina-reranker-v3),97%,1138.0,0.6,,131072.0,,,,,,,,,67.84,,
253,254,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,1554.0,0.355,1024.0,512.0,,,,,,,,,,,
254,255,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,1061.0,0.278,768.0,512.0,,,,,,,,,,,
255,256,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,475.0,0.124,768.0,512.0,,,,,,,,,,,
256,257,[m2v-dfm-large](https://huggingface.co/rasgaard/m2v-dfm-large),100%,87.0,0.023,256.0,,,,,,,,,,,,
257,258,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk),100%,185.0,0.049,256.0,,,,,,,,,,,,
258,259,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,183.0,0.048,256.0,,,,,,,,,,,,
259,260,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),98%,2167.0,0.568,1024.0,8192.0,,,,,,,,,,,
260,261,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,808.0,0.21,768.0,8192.0,,,,,,,,,,,
261,262,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,416.0,0.109,768.0,512.0,,,,,,,,,,,
262,263,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,1278.0,0.335,1024.0,512.0,,,,,,,,,,,
263,264,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,1037.0,0.272,1024.0,2048.0,,,,,,,,,,,
264,265,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,,,1792.0,512.0,,,,,,,,,,,
265,266,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100%,,,1792.0,512.0,,,,,,,,,,,
266,267,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,283.0,0.074,768.0,1024.0,,,,,,,,,,,
267,268,[XLMRoberta-en-da-sv-nb](https://huggingface.co/KFST/XLMRoberta-en-da-sv-nb),⚠️ NA,1061.0,0.278,768.0,512.0,,,,,,,,,,,
268,269,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),⚠️ NA,195.0,0.102,1024.0,512.0,,,,,,,,,,,
269,270,[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh),⚠️ NA,,,768.0,512.0,,,,,,,,,,,
270,271,[FRIDA](https://huggingface.co/ai-forever/FRIDA),83%,3141.0,0.823,1536.0,512.0,,,,,,,,,,,
271,271,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,91.0,0.033,512.0,512.0,,,,,,,,,,,
272,273,[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh),⚠️ NA,621.0,0.326,1024.0,512.0,,,,,,,,,,,
273,274,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100%,390.0,0.102,768.0,512.0,,,,,,,,,,,
274,275,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),99%,1242.0,0.326,1792.0,512.0,,,,,,,,,,,
275,276,[BERTA](https://huggingface.co/sergeyzh/BERTA),83%,489.0,0.128,768.0,512.0,,,,,,,,,,,
276,277,[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2),⚠️ NA,1242.0,0.326,768.0,512.0,,,,,,,,,,,
277,278,[Conan-embedding-v1](https://huggingface.co/Classical/Yinka),⚠️ NA,1242.0,0.326,768.0,512.0,,,,,,,,,,,
278,279,[sarashina-embedding-v2-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v2-1b),100%,4669.0,1.224,1792.0,8192.0,,,,,,,,,,,
279,280,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,58.0,0.03,1024.0,512.0,,,,,,,,,,,
280,281,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),99%,,,128.0,512.0,,,,,,,,,,,
281,282,[atles-champion-embedding](https://huggingface.co/spartan8806/atles-champion-embedding),99%,420.0,0.11,768.0,512.0,,,,,,,,,,,
282,283,[ruri-v3-310m](https://huggingface.co/cl-nagoya/ruri-v3-310m),99%,1200.0,0.315,768.0,8192.0,,,,,,,,,,,
283,284,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,5197.0,2.725,2304.0,512.0,,,,,,,,,,,
284,285,[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2),⚠️ NA,,,1024.0,512.0,,,,,,,,,,,
285,285,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,1242.0,0.326,1792.0,512.0,,,,,,,,,,,
286,287,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,123.0,0.032,312.0,2048.0,,,,,,,,,,,
287,288,[ruri-large](https://huggingface.co/cl-nagoya/ruri-large),⚠️ NA,644.0,0.337,1024.0,512.0,,,,,,,,,,,
288,289,[ruri-large-v2](https://huggingface.co/cl-nagoya/ruri-large-v2),⚠️ NA,1287.0,0.337,1024.0,512.0,,,,,,,,,,,
289,289,[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),100%,4669.0,1.224,1792.0,8192.0,,,,,,,,,,,
290,291,[Yinka](https://huggingface.co/Classical/Yinka),⚠️ NA,1244.0,0.326,1024.0,512.0,,,,,,,,,,,
291,292,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),⚠️ NA,1244.0,0.326,1024.0,512.0,,,,,,,,,,,
292,293,[ruri-v3-130m](https://huggingface.co/cl-nagoya/ruri-v3-130m),99%,504.0,0.132,512.0,8192.0,,,,,,,,,,,
293,294,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),99%,140.0,0.037,256.0,8192.0,,,,,,,,,,,
294,295,[ruri-base](https://huggingface.co/cl-nagoya/ruri-base),⚠️ NA,212.0,0.111,768.0,512.0,,,,,,,,,,,
295,296,[Hakim](https://huggingface.co/MCINext/Hakim),100%,475.0,0.124,768.0,512.0,,,,,,,,,,,
296,297,[ruri-base-v2](https://huggingface.co/cl-nagoya/ruri-base-v2),⚠️ NA,424.0,0.111,768.0,512.0,,,,,,,,,,,
297,298,[USER2-base](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,568.0,0.149,768.0,8192.0,,,,,,,,,,,
298,299,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,140.0,0.037,256.0,8192.0,,,,,,,,,,,
299,300,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,,,768.0,514.0,,,,,,,,,,,
300,301,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,,,,,,,,
301,302,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,496.0,0.123,768.0,512.0,,,,,,,,,,,
302,303,[Hakim-unsup](https://huggingface.co/MCINext/Hakim-unsup),100%,475.0,0.124,768.0,512.0,,,,,,,,,,,
303,304,[Hakim-small](https://huggingface.co/MCINext/Hakim-small),100%,148.0,0.039,512.0,512.0,,,,,,,,,,,
304,305,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,131.0,0.034,384.0,8192.0,,,,,,,,,,,
305,306,[bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,,,,,,,,,,,
306,307,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,,,,,,,,
307,308,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,86.0,0.023,768.0,512.0,,,,,,,,,,,
308,309,[nb-bert-large](https://huggingface.co/NbAiLab/nb-bert-large),100%,1359.0,0.355,1024.0,512.0,,,,,,,,,,,
309,310,[m3e-base](https://huggingface.co/moka-ai/m3e-base),99%,390.0,0.102,768.0,512.0,,,,,,,,,,,
310,311,[nb-bert-base](https://huggingface.co/NbAiLab/nb-bert-base),100%,681.0,0.178,768.0,512.0,,,,,,,,,,,
311,312,FollowIR-7B,100%,13813.0,,,,,,,,,12.15,,,,,
312,313,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,29431.0,7.576,1792.0,8192.0,,,,,,,,,,,
313,314,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),99%,1242.0,0.326,1792.0,512.0,,,,,,,,,,,
314,315,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),99%,,2.673,2048.0,8192.0,,,,,,,,,,,
315,316,[m3e-large](https://huggingface.co/moka-ai/m3e-large),99%,,,768.0,512.0,,,,,,,,,,,
316,317,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),91%,1242.0,0.326,1792.0,512.0,,,,,,,,,,,
317,318,[fabert](https://huggingface.co/sbunlp/fabert),100%,475.0,0.124,768.0,512.0,,,,,,,,,,,
318,319,flan-t5-large,100%,2987.0,,,,,,,,,4.72,,,,,
319,320,monot5-3b-msmarco-10k,⚠️ NA,,,,,,,,,,2.53,,,,,
320,321,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,621.0,0.163,768.0,512.0,,,,,,,,,,,
321,322,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,516.0,0.135,768.0,768.0,,,,,,,,,,,
322,323,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,469.0,0.123,768.0,512.0,,,,,,,,,,,
323,324,[sentence-bert-swedish-cased](https://huggingface.co/KBLab/sentence-bert-swedish-cased),⚠️ NA,476.0,0.125,768.0,384.0,,,,,,,,,,,
324,325,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,512.0,,,,,,,,,,,
325,326,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,514.0,,,,,,,,,,,
326,326,[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh),100%,1242.0,0.335,1024.0,512.0,,,,,,,,,,,
327,328,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),99%,27625.0,7.242,4096.0,32768.0,,,,,,,,,,,
328,329,[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh),100%,390.0,0.109,768.0,512.0,,,,,,,,,,,
329,330,flan-t5-base,100%,944.0,,,,,,,,,0.64,,,,,
330,331,monot5-base-msmarco-10k,⚠️ NA,,,,,,,,,,-1.74,,,,,
331,332,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,127.0,0.033,512.0,512.0,,,,,,,,,,,
332,333,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,621.0,0.163,768.0,512.0,,,,,,,,,,,
333,334,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),99%,7671.0,4.022,2560.0,32768.0,,,,,,,,,,,
334,335,[Octen-Embedding-4B](https://huggingface.co/bflhc/Octen-Embedding-4B),99%,7671.0,4.022,2560.0,32768.0,,,,,,,,,,,
335,336,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,549.0,0.137,30522.0,8192.0,,,,,,,,,,,
336,337,[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B),99%,1136.0,0.596,1024.0,32768.0,,,,,,,,,,,
337,338,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,,
338,339,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,,
339,340,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,267.0,0.067,30522.0,512.0,,,,,,,,,,,
340,341,monobert-large-msmarco,⚠️ NA,,,,,,,,,,-3.47,,,,,
341,341,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,,0.024,384.0,512.0,,,,,,,,,,,
342,343,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,,
343,344,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,,
344,345,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,,
345,346,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,,
346,347,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,267.0,0.067,30522.0,512.0,,,,,,,,,,,
347,348,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,86.0,0.023,30522.0,512.0,,,,,,,,,,,
348,349,[PawanEmbd-68M](https://huggingface.co/dmedhi/PawanEmbd-68M),96%,260.0,0.068,768.0,512.0,,,,,,,,,,,
349,350,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,450.0,0.118,768.0,512.0,,,,,,,,,,,
350,351,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99%,,,512.0,512.0,,,,,,,,,,,
351,352,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,489.0,0.128,256.0,,,,,,,,,,,,
352,353,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,7.0,0.002,64.0,,,,,,,,,,,,
353,354,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,2.0,0.001,64.0,,,,,,,,,,,,
354,355,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,30.0,0.008,256.0,,,,,,,,,,,,
355,356,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,2.0,0.001,64.0,,,,,,,,,,,,
356,357,[Ops-MoA-Yuan-embedding-1.0](https://huggingface.co/OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0),99%,1242.0,0.343,1536.0,512.0,,,,,,,,,,,
357,358,[ListConRanker](https://huggingface.co/ByteDance/ListConRanker),99%,1242.0,0.401,1024.0,512.0,,,,,,,,,,,
358,358,[Ops-MoA-Conan-embedding-v1](https://huggingface.co/OpenSearch-AI/Ops-MoA-Conan-embedding-v1),99%,1308.0,0.343,1536.0,512.0,,,,,,,,,,,
359,360,[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),99%,14624.0,7.667,3584.0,32768.0,,,,,,,,,,,
360,361,[XYZ-embedding](https://huggingface.co/fangxq/XYZ-embedding),99%,1242.0,0.326,768.0,512.0,,,,,,,,,,,
361,362,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,,0.0,64.0,,,,,,,,,,,,
362,362,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),⚠️ NA,29040.0,7.613,3584.0,32768.0,,,,,,,,,,,
363,364,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),⚠️ NA,6776.0,1.78,1536.0,32768.0,,,,,,,,,,,
364,365,[C2LLM-0.5B](https://huggingface.co/codefuse-ai/C2LLM-0.5B),99%,948.0,0.497,896.0,32768.0,,,,,,,,,,,
365,366,[BiCA-base](https://huggingface.co/bisectgroup/BiCA-base),100%,418.0,0.11,768.0,512.0,,,,,,,,,,,
366,367,[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),100%,568.0,0.149,768.0,8192.0,,,,,,,,,,,
